empresa;codigo;nome;detalhe;executivo;url
biguacu;64200;Sorocaba;Via BR101 - Via Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=64200
biguacu;64201;Sorocaba / Biguaçu;Até Viaduto Janaína;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=64201
biguacu;44801;Três Riachos / Biguaçu;Até Viaduto Janaína;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=44801
biguacu;44800;Três Riachos / Florianópolis;Via: Estrada Geral Tres Riachos, BR-101, Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=44800
fenix;665;Abraão;;False;https://www.consorciofenix.com.br/horarios/abraao,665
fenix;762;Angelo Laporta;;False;https://www.consorciofenix.com.br/horarios/angelo-laporta,762
fenix;V-844;Bairro de Fátima;;False;https://www.consorciofenix.com.br/horarios/bairro-de-fatima,V-844
fenix;844;Bairro de Fátima;;False;https://www.consorciofenix.com.br/horarios/bairro-de-fatima,844
fenix;V-661;Balneário;;False;https://www.consorciofenix.com.br/horarios/balneario,V-661
fenix;661;Balneário;;False;https://www.consorciofenix.com.br/horarios/balneario,661
fenix;763;Caeira do Saco dos Limões;;False;https://www.consorciofenix.com.br/horarios/caeira-do-saco-dos-limoes,763
fenix;662;Canto via Otília Cruz;;False;https://www.consorciofenix.com.br/horarios/canto-via-otilia-cruz,662
fenix;V-662;Canto via Otília Cruz;;False;https://www.consorciofenix.com.br/horarios/canto-via-otilia-cruz,V-662
fenix;631;Capoeiras;;False;https://www.consorciofenix.com.br/horarios/capoeiras,631
fenix;V-631;Capoeiras;;False;https://www.consorciofenix.com.br/horarios/capoeiras,V-631
fenix;183;Carianos via Saco dos Limões;;False;https://www.consorciofenix.com.br/horarios/carianos-via-saco-dos-limoes,183
fenix;772;Chico Mendes;;False;https://www.consorciofenix.com.br/horarios/chico-mendes,772
fenix;V-663;Coloninha via Araci Vaz Callado;;False;https://www.consorciofenix.com.br/horarios/coloninha-via-araci-vaz-callado,V-663
fenix;663;Coloninha via Araci Vaz Callado;;False;https://www.consorciofenix.com.br/horarios/coloninha-via-araci-vaz-callado,663
fenix;630;Corredor Continente;;False;https://www.consorciofenix.com.br/horarios/corredor-continente,630
fenix;V-630;Corredor Continente;;False;https://www.consorciofenix.com.br/horarios/corredor-continente,V-630
fenix;664;Itaguaçu;;False;https://www.consorciofenix.com.br/horarios/itaguacu,664
fenix;V-670;Monte Cristo;;False;https://www.consorciofenix.com.br/horarios/monte-cristo,V-670
fenix;670;Monte Cristo;;False;https://www.consorciofenix.com.br/horarios/monte-cristo,670
fenix;672;Monte Cristo via Esc. Edith Gama Ramos;;False;https://www.consorciofenix.com.br/horarios/monte-cristo-via-esc-edith-gama-ramos,672
fenix;764;Monte Serrat;;False;https://www.consorciofenix.com.br/horarios/monte-serrat,764
fenix;V-764;Monte Serrat via NEIM Evandro Sousa;;False;https://www.consorciofenix.com.br/horarios/monte-serrat-via-neim-evandro-sousa,V-764
fenix;160;Morro da Cruz;;False;https://www.consorciofenix.com.br/horarios/morro-da-cruz,160
fenix;161;Morro da Penitenciária;;False;https://www.consorciofenix.com.br/horarios/morro-da-penitenciaria,161
fenix;765;Morro da Queimada;;False;https://www.consorciofenix.com.br/horarios/morro-da-queimada,765
fenix;766;Morro do 25;;False;https://www.consorciofenix.com.br/horarios/morro-do-25,766
fenix;760;Morro do Geraldo;;False;https://www.consorciofenix.com.br/horarios/morro-do-geraldo,760
fenix;768;Morro do Horácio;;False;https://www.consorciofenix.com.br/horarios/morro-do-horacio,768
fenix;769;Morro Nova Trento;;False;https://www.consorciofenix.com.br/horarios/morro-nova-trento,769
fenix;186;Multi-hospital via Túnel;;False;https://www.consorciofenix.com.br/horarios/multi-hospital-via-tunel,186
fenix;460;Porto da Lagoa;;False;https://www.consorciofenix.com.br/horarios/porto-da-lagoa,460
fenix;467;Tapera / Saco dos Limões;;False;https://www.consorciofenix.com.br/horarios/tapera-saco-dos-limoes,467
fenix;461;Tapera via Túnel;;False;https://www.consorciofenix.com.br/horarios/tapera-via-tunel,461
fenix;154;TICEN / Carvoeira via Pantanal;;False;https://www.consorciofenix.com.br/horarios/ticen-carvoeira-via-pantanal,154
fenix;188;TICEN / UFSC;;False;https://www.consorciofenix.com.br/horarios/ticen-ufsc,188
fenix;431;TICEN / Aeroporto;;False;https://www.consorciofenix.com.br/horarios/ticen-aeroporto,431
fenix;104;TICEN / Itacorubi via Mauro Ramos;;False;https://www.consorciofenix.com.br/horarios/ticen-itacorubi-via-mauro-ramos,104
fenix;476;TICEN / Tapera;;False;https://www.consorciofenix.com.br/horarios/ticen-tapera,476
fenix;191;TITRI / TICEN via Transcaeira;;False;https://www.consorciofenix.com.br/horarios/titri-ticen-via-transcaeira,191
fenix;184;UDESC via Beira Mar;;False;https://www.consorciofenix.com.br/horarios/udesc-via-beira-mar,184
fenix;671;Vila / Promorar;;False;https://www.consorciofenix.com.br/horarios/vila-promorar,671
fenix;V-671;Vila / Promorar;;False;https://www.consorciofenix.com.br/horarios/vila-promorar,V-671
fenix;761;Vila Aparecida;;False;https://www.consorciofenix.com.br/horarios/vila-aparecida,761
fenix;137;Volta ao Morro Norte via H.U.;;False;https://www.consorciofenix.com.br/horarios/volta-ao-morro-norte-via-hu,137
fenix;135;Volta ao Morro Norte via Lauro Linhares;;False;https://www.consorciofenix.com.br/horarios/volta-ao-morro-norte-via-lauro-linhares,135
fenix;136;Volta ao Morro Sul via H.U.;;False;https://www.consorciofenix.com.br/horarios/volta-ao-morro-sul-via-hu,136
fenix;138;Volta ao Morro Sul via Lauro Linhares;;False;https://www.consorciofenix.com.br/horarios/volta-ao-morro-sul-via-lauro-linhares,138
fenix;601;Circular Abraão / Estreito;;False;https://www.consorciofenix.com.br/horarios/circular-abraao-estreito,601
fenix;291;Circular Canasvieiras / Praia Brava;;False;https://www.consorciofenix.com.br/horarios/circular-canasvieiras-praia-brava,291
fenix;605;Circular Estreito / Abraão;;False;https://www.consorciofenix.com.br/horarios/circular-estreito-abraao,605
fenix;296;Circular Santinho Ingleses;;False;https://www.consorciofenix.com.br/horarios/circular-santinho-ingleses,296
fenix;294;Interpraias;;False;https://www.consorciofenix.com.br/horarios/interpraias,294
fenix;100;Madrugadão Centro - UFSC Norte;;False;https://www.consorciofenix.com.br/horarios/madrugadao-centro-ufsc-norte,100
fenix;102;Madrugadão Centro / UFSC Sul;;False;https://www.consorciofenix.com.br/horarios/madrugadao-centro-ufsc-sul,102
fenix;600;Madrugadão Continente Norte;;False;https://www.consorciofenix.com.br/horarios/madrugadao-continente-norte,600
fenix;604;Madrugadão Continente Sul;;False;https://www.consorciofenix.com.br/horarios/madrugadao-continente-sul,604
fenix;300;Madrugadão Leste;;False;https://www.consorciofenix.com.br/horarios/madrugadao-leste,300
fenix;201;Madrugadão Norte - Jurerê / Canasvieiras;;False;https://www.consorciofenix.com.br/horarios/madrugadao-norte-jurere-canasvieiras,201
fenix;200;Madrugadão Norte - Rio Vermelho / Santinho;;False;https://www.consorciofenix.com.br/horarios/madrugadao-norte-rio-vermelho-santinho,200
fenix;301;Madrugadão Norte - Santo Antônio / TICAN;;False;https://www.consorciofenix.com.br/horarios/madrugadao-norte-santo-antonio-tican,301
fenix;500;Madrugadão Sul - Pântano do Sul;;False;https://www.consorciofenix.com.br/horarios/madrugadao-sul-pantano-do-sul,500
fenix;501;Madrugadão Sul - Ribeirão;;False;https://www.consorciofenix.com.br/horarios/madrugadao-sul-ribeirao,501
fenix;720;Monte Serrat - Serrinha;;False;https://www.consorciofenix.com.br/horarios/monte-serrat-serrinha,720
fenix;722;Morro do 25 - Morro da Cruz;;False;https://www.consorciofenix.com.br/horarios/morro-do-25-morro-da-cruz,722
